Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
3393,84.05848002,52.95148583,0.776646824,3477,65.72748113,0.68851461,224.485,0.846094886,1.587462159,jasmine
4038,95.2470937,55.21937217,0.814795388,4126,71.70314694,0.63610586,244.287,0.850306436,1.724885488,jasmine
3899,95.37622831,53.32667827,0.829087297,3977,70.45822156,0.6421278,240.44,0.847519424,1.788527458,jasmine
4399,102.4485604,55.73154196,0.839088221,4496,74.83970041,0.755841924,257.268,0.835203461,1.838250957,jasmine
4893,108.9832503,58.02999061,0.846450727,4979,78.93010257,0.625223614,268.932,0.850158921,1.878050455,jasmine
4357,104.1688036,54.50369237,0.852194755,4432,74.48157286,0.53796765,260.732,0.805394671,1.911224709,jasmine
4105,101.8422762,52.14737228,0.858961293,4241,72.29556232,0.838439543,254.662,0.795416754,1.952970432,jasmine
4371,106.0365044,53.38323965,0.864028969,4460,74.60113974,0.623715753,256.509,0.834805795,1.986325767,jasmine
3641,98.21898138,48.83939057,0.867607294,3726,68.08718809,0.554945892,241.542,0.784233206,2.011060749,jasmine
4881,113.8160966,55.96674868,0.87074793,4965,78.83325579,0.852725367,275.478,0.808248354,2.033637817,jasmine
4080,104.272109,50.51191604,0.874833328,4159,72.07508129,0.756957328,250.412,0.817635526,2.064307142,jasmine
3467,97.97380616,47.13315533,0.876677165,3598,66.44036049,0.614716312,240.017,0.756274922,2.078660032,jasmine
5786,125.5554308,59.62625047,0.880039868,5945,85.83102007,0.623491379,307.304,0.769931108,2.105707298,jasmine
4449,111.2556534,52.19604698,0.883116313,4558,75.26382089,0.709569378,269.177,0.77160738,2.131495771,jasmine
5188,121.0072161,55.57226815,0.888308327,5350,81.27463785,0.561471862,295.728,0.74546102,2.177474846,jasmine
5371,123.9435304,56.23539815,0.891145369,5531,82.69564435,0.734144341,297.114,0.764572695,2.204012677,jasmine
4417,113.719943,51.08260448,0.89343297,4601,74.9926601,0.528855364,281.478,0.700564861,2.226197042,jasmine
5985,132.7895598,58.55567096,0.897523846,6140,87.29455123,0.676729986,316.69,0.749903393,2.267748924,jasmine
5256,124.904374,54.45602198,0.899955528,5353,81.80554411,0.591891892,292.906,0.769854556,2.293674225,jasmine
5555,129.0205405,55.63227728,0.902261482,5733,84.10021207,0.749662618,305.326,0.748800888,2.31916698,jasmine
5086,124.6260959,53.36725831,0.903675005,5205,80.47171133,0.635432284,293.409,0.742402383,2.335253858,jasmine
4262,113.529303,48.27920161,0.905072347,4355,73.66509988,0.650289899,265.142,0.761844354,2.35151575,jasmine
5793,133.5949267,56.42123689,0.906441831,5930,85.88292428,0.766269841,311.85,0.748551863,2.367812796,jasmine
6890,146.177056,61.25272911,0.907971892,7052,93.66226809,0.57806863,343.917,0.732018064,2.386457846,jasmine
